species,SVL,HH,HL,HW,IN,IO,TD,EE,NE,SE,OD,FL,CL,AG,TW,SL,IS,IL,FS,CS,MB,PVT,LRT,VS,TL1,TL4,iris color,thin nuchal band,dark nuc band-eye,wht ocelli ,drk on body
albofasciolatus,151.2,15.8,41.3,28.7,4.3,7.6,5.1,11.3,13.2,18.3,10.3,18.3,23.9,66.8,13.2,15,5,13,22,7,103,18,11,30,14,18,green,absent,absent,small,absent
albofasciolatus,147.6,16.7,40.5,27.9,4.3,8.6,5.4,11.7,12.1,16.7,10.1,18.6,24.7,67.3,11.9,13,5,11,21,6,94,16,10,25,16,20,green,absent,absent,small,absent
albofasciolatus,144.4,15,41.5,25.8,3.9,8.1,4.3,12,12.5,16.8,10.3,18.1,22.7,68.5,11.9,14,6,11,24,7,95,20,10,33,17,22,green,absent,absent,small,absent
albomaculatus,146.6,16.5,42.7,27.6,3.9,8.5,5.7,11.7,13.1,18.2,11.4,17.1,21,62.7,12.5,16,5,14,26,8,103,18,11,33,15,19,green,present,present,large,absent
albomaculatus,148.1,15.7,40.2,27.7,4.4,8.7,5.8,11.2,11.8,17.1,10.6,17.6,24,69.7,13.5,14,4,12,20,7,101,20,10,31,14,17,green,present,present,large,absent
albomaculatus,145.5,16.3,41.7,27.4,4.9,8.6,4.1,11.9,13.1,17.5,10.7,18.6,26.4,70.8,12.7,13,5,11,22,7,100,19,10,30,16,19,green,present,present,large,absent
hulk,143.5,15.9,40.2,27.1,3.7,8.6,5.7,11.4,12.1,16.6,11,16.9,21.7,72,11.8,14,5,9,20,8,191,19,11,32,16,20,turquoise,absent,absent,small,absent
hulk,143,14.9,39.5,25.4,3.7,8.2,4.5,10.8,11.7,16.3,9.7,18.9,22.2,70.5,13.3,13,4,11,18,6,102,18,10,29,15,19,turquoise,absent,absent,small,absent
hulk,116.4,11.9,34.3,21.2,3.4,7.2,4.1,8.9,11.2,13.5,9.7,15.3,19.1,58.4,10.5,13,5,11,19,5,105,16,11,26,18,22,turquoise,absent,absent,small,absent
hulk,67.1,7.3,20.5,12.6,2.3,4.5,2.7,4.9,6.2,8.3,4.7,7.8,9.8,33.4,4.8,10,4,10,13,4,89,19,9,23,16,20,turquoise,absent,absent,small,absent
hulk,61.2,6.1,19.5,11.8,2.3,4.9,2.4,4.4,5.1,7.4,5.1,8,9.6,32,4.6,13,4,10,20,5,87,19,10,26,15,19,turquoise,absent,absent,small,absent
hulk,151.5,16.8,43,30.7,3.5,8,4.3,12.9,13.7,17.8,10.5,20,23.5,75.3,14.3,13,4,10,21,7,95,19,11,30,14,18,turquoise,absent,absent,small,absent
hulk,56.9,6.4,17.9,11.3,1.1,3.7,2,3.6,4.9,6.7,5.3,7,9,27.9,3.1,13,4,10,18,6,84,18,10,24,16,20,turquoise,absent,absent,small,absent
hulk,54.6,5.3,17.1,10.6,1.8,4,2.2,3.8,4.4,6.7,4.9,7.1,8.9,26.1,3,14,4,11,24,5,89,18,10,23,16,21,turquoise,absent,absent,small,absent
hulk,149.2,14.3,42.4,27.8,4.3,8.7,6.2,11.8,13,18,10.8,20,22.9,77.5,15.2,14,5,12,21,5,104,18,10,22,17,21,turquoise,absent,absent,small,absent
hulk,161.3,15,44.2,28.1,4.4,9.7,7,13.8,13.4,18.4,10.3,21,25.3,81.3,12.9,14,4,11,18,6,95,18,10,26,16,20,turquoise,absent,absent,small,absent
hulk,157.2,16.7,41.1,28.6,4.4,9,4.5,10.9,12.6,17.9,11.4,20.2,25.6,75.7,16.7,12,4,10,18,5,91,17,10,21,16,21,turquoise,absent,absent,small,absent
hulk,147.5,15.9,41.7,27.2,3.7,8.2,6.3,10.8,12.2,16.9,11,19.8,23.8,75.8,12.8,12,3,10,18,6,110,17,10,25,15,19,turquoise,absent,absent,small,absent
hulk,141.2,15.3,39.9,26.2,3.6,9.4,5.1,10,13,16.4,11.2,14.3,22.3,67.8,13.1,15,4,13,18,6,90,16,9,22,18,22,turquoise,absent,absent,small,absent
hulk,158.4,16.9,44,28.3,3.7,9.6,5.2,12.4,14.7,18.1,11.3,19.7,25.2,77.4,14.5,14,3,12,19,7,98,19,11,27,17,21,turquoise,absent,absent,small,absent
hulk,146.5,16.3,39.8,27.2,3.6,9.7,5,10,12.2,17.3,11.3,19.6,24.2,71.1,15.3,14,4,12,21,6,109,19,10,23,19,24,turquoise,absent,absent,small,absent
hulk,117,11.9,33.3,21.1,3.3,7.3,4.5,11.9,10.8,13.6,9,15.4,19.1,58.8,10.2,13,5,11,17,7,106,21,11,26,17,21,turquoise,absent,absent,small,absent
hulk,149.9,15.9,41.3,27.1,4.3,8.3,5.3,12.9,12.3,16.9,10.5,19.3,26.2,72.7,14.6,14,5,11,18,6,105,19,10,27,15,19,turquoise,absent,absent,small,absent
hulk,121.4,12.9,35.7,20.8,3.8,7.2,5.3,10.2,10.9,15.1,9.2,16.8,21.1,60.9,11.3,14,4,11,21,7,108,21,11,32,17,21,turquoise,absent,absent,small,absent
hulk,122.6,13.8,36.2,23.1,3.3,8.3,5,10.2,11.9,15.4,9.6,17.6,20.8,60.3,10.8,13,4,11,22,7,91,21,11,22,16,21,turquoise,absent,absent,small,absent
hulk,149,16.6,42.4,25.9,3.6,8.9,5.3,12.2,12.4,16.7,10.3,18.7,24.8,70,13.7,15,5,12,20,5,91,20,10,21,16,20,turquoise,absent,absent,small,absent
hulk,136.8,12.7,38.5,25,3.5,6.9,4.6,9.9,11.1,15.1,10.6,17,22.6,68,11.5,15,5,13,21,6,107,17,10,42,18,22,turquoise,absent,absent,small,absent
hulk,127.5,12.9,36.5,23.9,3.9,7.7,6.2,9.7,10.9,14.9,10.1,15.9,20.2,58.6,11.6,13,4,11,19,8,104,17,9,27,19,23,turquoise,absent,absent,small,absent
hulk,134.5,13.6,39.1,25.8,4.5,9.7,6.4,10.9,12,16.6,10.3,17.6,19.8,68.8,12.7,13,5,11,18,6,101,19,10,24,16,20,turquoise,absent,absent,small,absent
hulk,143,15.3,39.4,27.3,4.4,8.7,4.8,11,13.1,16.7,10.3,17.9,23.1,69.2,13.6,12,5,10,21,6,98,18,10,25,17,21,turquoise,absent,absent,small,absent
hulk,138.1,14.7,38.7,27,4.5,8.6,4.2,11,11.8,15.8,10.4,18.8,21.7,66.4,12.7,12,4,10,17,6,98,18,11,27,16,20,turquoise,absent,absent,small,absent
hulk,117.1,11.8,33.4,21.5,3.5,7.6,5.4,8.5,11,13.9,10.3,15.2,18.8,54,11.7,13,4,11,18,6,102,17,10,24,17,21,turquoise,absent,absent,small,absent
hulk,133,14.7,38.3,24.4,3.9,8.6,5.2,9.8,11,16.1,10.2,18.1,20.8,68,11.7,13,4,11,17,6,99,17,10,25,16,20,turquoise,absent,absent,small,absent
hulk,139.6,16.4,39.5,27.7,4.4,9.2,5.2,11.8,12.7,17.1,11.4,17.2,21.9,65.4,12.5,13,4,11,20,5,106,18,10,27,15,19,turquoise,absent,absent,small,absent
hulk,128.5,13.7,37,25.7,3.8,7.5,5.2,10.3,11.1,15.3,10.5,15.9,20.9,64.6,12.2,13,5,11,21,7,109,19,10,28,17,21,turquoise,absent,absent,small,absent
hulk,141.1,15.6,38.8,29.2,3.8,8.8,4.1,10.7,12.1,16.5,10.7,18.2,21.9,68.6,14.1,14,4,12,19,6,106,17,10,26,17,22,turquoise,absent,absent,small,absent
hulk,136.6,15.1,38.1,25.9,3.7,8.9,6.1,10.5,11.6,16.1,10.2,17.4,21.3,62.6,12.4,14,4,12,23,6,96,17,10,24,19,22,turquoise,absent,absent,small,absent
hulk,137.6,14.3,39.4,25.4,3.6,8.4,5.3,10.5,11.8,16.1,10.7,17.1,22.4,66.6,12.9,13,5,11,20,7,95,18,9,23,16,20,turquoise,absent,absent,small,absent
hulk,127.1,13.4,37.2,23.5,3.6,8.1,4.8,10.6,11.1,14.9,9.9,17.8,20.6,64.1,10.5,13,4,11,20,5,102,18,10,26,18,22,turquoise,absent,absent,small,absent
hulk,121.5,14.2,36.5,23.2,3.5,9.3,5.3,10.2,10.8,15.4,10.4,17,20.8,60.5,11.1,14,3,12,22,6,104,18,10,25,16,21,turquoise,absent,absent,small,absent
hulk,135.6,14.7,40.1,26.5,3.9,9.8,5.1,11.1,11.9,16.7,9.8,16.6,21.6,65.6,12.4,14,4,12,21,6,100,20,10,24,17,21,turquoise,absent,absent,small,absent
hulk,137.3,15.8,38.5,24.8,4,9,4.9,10.9,11.6,16.2,10.1,17.2,22.2,70.5,13.2,14,4,11,19,6,98,19,10,27,17,21,turquoise,absent,absent,small,absent
hulk,148.8,16.2,42.9,26.4,4.8,9.3,5.7,12.2,13,17.6,10.8,17.9,22.2,67.5,11.4,13,4,10,22,6,104,21,10,23,17,20,turquoise,absent,absent,small,absent
hulk,124.7,15.4,37,25.2,3.6,9.3,5.5,12.3,11.2,15.5,10.6,16.6,20.9,60.5,13.7,13,4,10,15,7,92,18,10,26,19,23,turquoise,absent,absent,small,absent
hulk,143.9,15,38.8,25.4,3.9,9.2,6.2,11.1,11.6,16.6,10.3,17.5,21.8,72.1,12,13,4,11,21,5,101,19,11,29,19,22,turquoise,absent,absent,small,absent
smithii,169.9,21.3,47.2,33.2,4.9,9.5,5.4,14.3,14.7,20.2,11.3,23.7,27.5,83.4,17.6,15,4,12,24,7,94,19,9,33,16,19,turquoise,absent,present,large,present
smithii,161.1,19.6,47.2,32.6,4.9,8.8,5.2,12.4,14.9,20.1,10.4,21.5,26.2,80.3,17.1,13,4,10,26,6,109,18,10,30,17,20,turquoise,absent,present,large,present
smithii,170.5,18.4,44.8,30.9,4.3,9.6,5.7,11.7,14.8,19.3,10.6,21.6,28,81.4,12.5,13,3,11,25,7,114,17,10,26,16,19,turquoise,absent,present,large,present
smithii,163.1,18.9,46.5,29.9,4.3,8.9,5.7,12.8,14,20.1,10.3,23.8,25.1,78.8,15,12,4,9,23,7,101,18,9,29,17,21,turquoise,absent,present,large,present
smithii,124.2,14.1,40.5,42.8,4.6,6.3,4.2,11.1,12.8,16.5,8.5,6.9,21.4,57.8,13.4,13,3,11,19,4,100,22,9,31,18,20,turquoise,absent,present,large,present
smithii,178.7,21.8,47.7,34.4,7.2,9.1,5.2,5.8,12.2,22.8,10.2,21.7,29.6,86.8,15,12,3,11,19,7,110,23,10,30,20,23,turquoise,absent,present,large,present
smithii,166.7,20.9,41,35.1,7.8,7.9,4.9,15.1,14.2,20.5,11.4,22.2,25.4,78,17.4,13,5,10,19,6,132,23,9,32,20,23,turquoise,absent,present,large,present
smithii,166.3,18.3,43.6,33.6,5.9,9.4,6.1,14.6,16,20,9.5,20.2,25.5,75.3,17,11,5,10,21,7,126,22,8,30,20,24,turquoise,absent,present,large,present
smithii,168.6,16.7,46.4,28,4.2,8.6,4.9,11.9,13.4,19,11.9,21.2,26.6,85.6,10.5,15,5,13,24,6,113,19,10,27,18,22,turquoise,absent,present,large,present
smithii,179,17.8,49.5,29.9,4.4,10,5.9,13.5,14,19.9,11.6,21.3,25.1,84.8,13.5,15,5,12,24,7,104,20,10,24,17,22,turquoise,absent,present,large,present
smithii,163.9,15.5,45.5,29.1,3.9,8.9,5.4,11.9,13.3,18.7,12,21.9,25.8,79.6,11.4,14,5,11,21,8,121,21,9,35,17,21,turquoise,absent,present,large,present
smithii,136.4,13.1,38.6,23.6,3.9,7.4,4.8,10.5,11.4,16,9.9,17.8,20.4,62.1,9.7,15,4,13,25,8,104,18,10,25,18,22,turquoise,absent,present,large,present
smithii,174.7,17.1,49.5,30.2,4.2,8.5,5.6,12.3,14.1,19.7,11.4,22.1,26,80.8,10.8,14,5,11,22,7,123,17,10,29,18,21,turquoise,absent,present,large,present
smithii,161,14.9,45.5,26.6,4,9.6,5.4,11.2,13.8,18.8,12.4,21.5,25.5,81.4,10.1,17,5,14,25,8,119,19,10,30,18,21,turquoise,absent,present,large,present
smithii,155.6,16.2,44.6,27.9,4,9.3,5.4,11.5,13.7,18.3,10.2,19.6,24.6,74.7,13.8,14,4,12,22,7,109,18,10,29,17,20,turquoise,absent,present,large,present
smithii,54.6,6.1,21.1,11.3,2.3,4.5,1.7,4,4.9,6.8,5.3,7.4,9.3,25.1,4.1,14,5,11,25,8,107,18,10,23,19,23,turquoise,absent,present,large,present
smithii,148.1,14.4,39.9,25.7,3.9,7.7,5.7,12.1,12.4,15.7,10.7,19.3,24.5,75.3,12.9,16,5,14,23,6,103,18,10,23,20,24,turquoise,absent,present,large,present
smithii,151.3,17.1,41.3,28.1,5.1,8.1,5.8,11.8,12.9,17.3,9.3,19,24.7,71.5,13.2,15,5,12,21,7,107,17,9,28,19,23,turquoise,absent,present,large,present
smithii,173.4,17.6,49.2,32.3,4.6,9.7,5.2,14,14.6,19.5,11.2,21.7,28.3,89.3,12.4,15,4,12,19,5,119,17,10,28,16,21,turquoise,absent,present,large,present
smithii,151.7,15,41,26.8,3.6,8.8,5.8,11.4,12.6,17.1,11.3,21.2,24.3,69.9,11.6,14,4,12,22,6,116,18,10,34,17,22,turquoise,absent,present,large,present
smithii,167.2,20.8,48.7,32.1,4.2,8.8,4.6,14.1,14.8,20.2,12,22.4,26.1,80,14.6,12,4,10,23,6,111,18,11,32,16,20,turquoise,absent,present,large,present
smithii,168.7,16.7,47.3,29.3,4.1,8.8,5.2,12.7,13.6,19.7,12.3,20.8,26.7,87.5,11.8,15,5,12,24,9,108,21,10,28,18,23,turquoise,absent,present,large,present